player_1_score,player_2_score,player_1_moves,player_2_moves,total_moves,n_start_marbles,n_cups,player_1_result,player_2_result,first_move,player_one_strategy,player_two_strategy,game_run_time,depth
33,15,70,47,117,4,6,win,lose,2,min_max,min_max,0.005926609039306641,0.0
21,27,61,57,118,4,6,lose,win,1,min_max,min_max,0.0045397281646728516,0.0
25,23,53,54,107,4,6,win,lose,2,min_max,min_max,0.004458189010620117,0.0
30,18,76,63,139,4,6,win,lose,2,min_max,min_max,0.004863739013671875,0.0
26,22,70,48,118,4,6,win,lose,5,min_max,min_max,0.0051038265228271484,0.0
31,17,76,39,115,4,6,win,lose,5,min_max,min_max,0.005167722702026367,0.0
23,25,62,47,109,4,6,lose,win,3,min_max,min_max,0.005018711090087891,0.0
28,20,69,47,116,4,6,win,lose,2,min_max,min_max,0.005218505859375,0.0
22,26,68,71,139,4,6,lose,win,4,min_max,min_max,0.004989147186279297,0.0
26,22,54,60,114,4,6,win,lose,5,min_max,min_max,0.0040760040283203125,0.0
28,20,64,51,115,4,6,win,lose,4,min_max,min_max,0.005364418029785156,0.0
24,24,55,58,113,4,6,draw,draw,4,min_max,min_max,0.004236936569213867,0.0
28,20,63,56,119,4,6,win,lose,3,min_max,min_max,0.004623889923095703,0.0
29,19,71,63,134,4,6,win,lose,1,min_max,min_max,0.005637645721435547,0.0
17,31,37,33,70,4,6,lose,win,2,min_max,min_max,0.0025348663330078125,0.0
24,24,80,59,139,4,6,draw,draw,3,min_max,min_max,0.005128622055053711,0.0
23,25,44,67,111,4,6,lose,win,5,min_max,min_max,0.0045185089111328125,0.0
32,16,59,48,107,4,6,win,lose,2,min_max,min_max,0.003697633743286133,0.0
31,17,68,52,120,4,6,win,lose,6,min_max,min_max,0.005318164825439453,0.0
28,20,85,52,137,4,6,win,lose,6,min_max,min_max,0.005305290222167969,0.0
30,18,49,41,90,4,6,win,lose,2,min_max,min_max,0.003984212875366211,0.0
28,20,74,57,131,4,6,win,lose,2,min_max,min_max,0.0052738189697265625,0.0
24,24,64,56,120,4,6,draw,draw,3,min_max,min_max,0.004804372787475586,0.0
20,28,46,64,110,4,6,lose,win,6,min_max,min_max,0.0047245025634765625,0.0
24,24,70,61,131,4,6,draw,draw,4,min_max,min_max,0.00535130500793457,0.0
27,21,66,59,125,4,6,win,lose,6,min_max,min_max,0.0052776336669921875,0.0
27,21,65,54,119,4,6,win,lose,6,min_max,min_max,0.004728794097900391,0.0
