player_1_score,player_2_score,player_1_moves,player_2_moves,total_moves,n_start_marbles,n_cups,player_1_result,player_2_result,first_move,player_one_strategy,player_two_strategy,game_run_time,depth
22,26,61,68,129,4,6,lose,win,2,min_max,max_score,0.010618925094604492,0.0
16,32,41,74,115,4,6,lose,win,1,min_max,max_score,0.025908946990966797,0.0
14,34,33,66,99,4,6,lose,win,2,min_max,max_score,0.0525517463684082,0.0
19,29,43,58,101,4,6,lose,win,2,min_max,max_score,0.008171558380126953,0.0
16,32,49,70,119,4,6,lose,win,5,min_max,max_score,0.009686946868896484,0.0
13,35,30,63,93,4,6,lose,win,5,min_max,max_score,0.024121999740600586,0.0
12,36,28,70,98,4,6,lose,win,3,min_max,max_score,0.03253507614135742,0.0
16,32,30,66,96,4,6,lose,win,2,min_max,max_score,0.017920732498168945,0.0
15,33,34,68,102,4,6,lose,win,4,min_max,max_score,0.0793449878692627,0.0
20,28,52,62,114,4,6,lose,win,5,min_max,max_score,0.00953984260559082,0.0
15,33,34,71,105,4,6,lose,win,4,min_max,max_score,0.08080410957336426,0.0
16,32,32,65,97,4,6,lose,win,4,min_max,max_score,0.0792078971862793,0.0
15,33,37,76,113,4,6,lose,win,3,min_max,max_score,0.011820554733276367,0.0
27,21,71,49,120,4,6,win,lose,1,min_max,max_score,0.008425474166870117,0.0
17,31,36,65,101,4,6,lose,win,2,min_max,max_score,0.005552768707275391,0.0
12,36,26,67,93,4,6,lose,win,3,min_max,max_score,0.03327059745788574,0.0
16,32,35,55,90,4,6,lose,win,5,min_max,max_score,0.01736164093017578,0.0
15,33,38,71,109,4,6,lose,win,2,min_max,max_score,0.013742923736572266,0.0
13,35,24,77,101,4,6,lose,win,6,min_max,max_score,0.024497032165527344,0.0
11,37,33,89,122,4,6,lose,win,6,min_max,max_score,0.02541327476501465,0.0
23,25,57,56,113,4,6,lose,win,2,min_max,max_score,0.007088422775268555,0.0
15,33,34,56,90,4,6,lose,win,2,min_max,max_score,0.059157609939575195,0.0
11,37,24,79,103,4,6,lose,win,3,min_max,max_score,0.03317546844482422,0.0
13,35,30,81,111,4,6,lose,win,6,min_max,max_score,0.024184703826904297,0.0
15,33,39,66,105,4,6,lose,win,4,min_max,max_score,0.08025979995727539,0.0
13,35,38,61,99,4,6,lose,win,6,min_max,max_score,0.017035722732543945,0.0
22,26,51,61,112,4,6,lose,win,6,min_max,max_score,0.007730007171630859,0.0
18,30,43,50,93,4,6,lose,win,1,min_max,max_score,0.011204719543457031,0.0
12,36,33,64,97,4,6,lose,win,5,min_max,max_score,0.018329620361328125,0.0
10,38,19,70,89,4,6,lose,win,5,min_max,max_score,0.1092066764831543,0.0
13,35,29,82,111,4,6,lose,win,1,min_max,max_score,0.07907485961914062,0.0
12,36,30,71,101,4,6,lose,win,1,min_max,max_score,0.04566502571105957,0.0
14,34,35,70,105,4,6,lose,win,5,min_max,max_score,0.024060964584350586,0.0
13,35,40,64,104,4,6,lose,win,5,min_max,max_score,0.019526243209838867,0.0
20,28,54,56,110,4,6,lose,win,5,min_max,max_score,0.023535966873168945,0.0
24,24,57,50,107,4,6,draw,draw,3,min_max,max_score,0.006765604019165039,0.0
14,34,32,78,110,4,6,lose,win,6,min_max,max_score,0.02392721176147461,0.0
19,29,33,75,108,4,6,lose,win,6,min_max,max_score,0.011500120162963867,0.0
23,25,61,55,116,4,6,lose,win,2,min_max,max_score,0.008269309997558594,0.0
12,36,32,75,107,4,6,lose,win,4,min_max,max_score,0.08316755294799805,0.0
13,35,40,67,107,4,6,lose,win,4,min_max,max_score,0.07923007011413574,0.0
15,33,38,58,96,4,6,lose,win,6,min_max,max_score,0.014441967010498047,0.0
16,32,39,60,99,4,6,lose,win,1,min_max,max_score,0.0235898494720459,0.0
13,35,38,67,105,4,6,lose,win,4,min_max,max_score,0.07625293731689453,0.0
21,27,42,64,106,4,6,lose,win,3,min_max,max_score,0.006362438201904297,0.0
24,24,56,47,103,4,6,draw,draw,1,min_max,max_score,0.007563591003417969,0.0
12,36,29,75,104,4,6,lose,win,3,min_max,max_score,0.0327754020690918,0.0
13,35,33,77,110,4,6,lose,win,5,min_max,max_score,0.02728891372680664,0.0
24,24,59,59,118,4,6,draw,draw,1,min_max,max_score,0.010835886001586914,0.0
14,34,33,69,102,4,6,lose,win,4,min_max,max_score,0.07618331909179688,0.0
15,33,40,70,110,4,6,lose,win,2,min_max,max_score,0.018442153930664062,0.0
16,32,30,79,109,4,6,lose,win,3,min_max,max_score,0.014766931533813477,0.0
22,26,40,40,80,4,6,lose,win,5,min_max,max_score,0.008253097534179688,0.0
15,33,41,74,115,4,6,lose,win,2,min_max,max_score,0.015136003494262695,0.0
22,26,49,51,100,4,6,lose,win,1,min_max,max_score,0.007450580596923828,0.0
25,23,55,53,108,4,6,win,lose,5,min_max,max_score,0.007643222808837891,0.0
19,29,46,74,120,4,6,lose,win,1,min_max,max_score,0.015373945236206055,0.0
20,28,42,56,98,4,6,lose,win,5,min_max,max_score,0.017345428466796875,0.0
20,28,42,55,97,4,6,lose,win,2,min_max,max_score,0.011071205139160156,0.0
11,37,23,61,84,4,6,lose,win,3,min_max,max_score,0.03192305564880371,0.0
15,33,37,67,104,4,6,lose,win,4,min_max,max_score,0.07674431800842285,0.0
14,34,40,78,118,4,6,lose,win,5,min_max,max_score,0.026472091674804688,0.0
15,33,31,70,101,4,6,lose,win,4,min_max,max_score,0.0773005485534668,0.0
17,31,39,67,106,4,6,lose,win,4,min_max,max_score,0.07849812507629395,0.0
15,33,31,54,85,4,6,lose,win,4,min_max,max_score,0.07643675804138184,0.0
20,28,54,66,120,4,6,lose,win,1,min_max,max_score,0.007205009460449219,0.0
13,35,35,79,114,4,6,lose,win,1,min_max,max_score,0.022722244262695312,0.0
15,33,33,72,105,4,6,lose,win,6,min_max,max_score,0.011914730072021484,0.0
14,34,30,67,97,4,6,lose,win,6,min_max,max_score,0.023215293884277344,0.0
24,24,57,40,97,4,6,draw,draw,1,min_max,max_score,0.00631403923034668,0.0
19,29,53,57,110,4,6,lose,win,3,min_max,max_score,0.008889198303222656,0.0
19,29,44,57,101,4,6,lose,win,1,min_max,max_score,0.0235137939453125,0.0
17,31,35,51,86,4,6,lose,win,3,min_max,max_score,0.017436504364013672,0.0
13,35,35,60,95,4,6,lose,win,5,min_max,max_score,0.01785898208618164,0.0
12,36,34,63,97,4,6,lose,win,4,min_max,max_score,0.07765030860900879,0.0
14,34,29,73,102,4,6,lose,win,3,min_max,max_score,0.031873464584350586,0.0
13,35,30,67,97,4,6,lose,win,3,min_max,max_score,0.061060428619384766,0.0
14,34,40,79,119,4,6,lose,win,2,min_max,max_score,0.017879724502563477,0.0
18,30,46,66,112,4,6,lose,win,2,min_max,max_score,0.013950109481811523,0.0
14,34,30,51,81,4,6,lose,win,3,min_max,max_score,0.04204273223876953,0.0
19,29,44,70,114,4,6,lose,win,5,min_max,max_score,0.016583919525146484,0.0
16,32,37,75,112,4,6,lose,win,2,min_max,max_score,0.008760213851928711,0.0
10,38,31,75,106,4,6,lose,win,4,min_max,max_score,0.08166027069091797,0.0
14,34,36,72,108,4,6,lose,win,6,min_max,max_score,0.01653456687927246,0.0
17,31,42,70,112,4,6,lose,win,2,min_max,max_score,0.008897542953491211,0.0
15,33,50,78,128,4,6,lose,win,1,min_max,max_score,0.020656347274780273,0.0
18,30,40,64,104,4,6,lose,win,2,min_max,max_score,0.011035919189453125,0.0
15,33,45,70,115,4,6,lose,win,4,min_max,max_score,0.07841706275939941,0.0
25,23,57,51,108,4,6,win,lose,1,min_max,max_score,0.007117271423339844,0.0
16,32,42,63,105,4,6,lose,win,2,min_max,max_score,0.013793468475341797,0.0
14,34,43,70,113,4,6,lose,win,1,min_max,max_score,0.020901918411254883,0.0
14,34,23,61,84,4,6,lose,win,4,min_max,max_score,0.08058595657348633,0.0
15,33,29,74,103,4,6,lose,win,4,min_max,max_score,0.07776832580566406,0.0
16,32,31,48,79,4,6,lose,win,5,min_max,max_score,0.014765262603759766,0.0
12,36,33,73,106,4,6,lose,win,5,min_max,max_score,0.01875615119934082,0.0
11,37,28,77,105,4,6,lose,win,3,min_max,max_score,0.037725210189819336,0.0
18,30,38,56,94,4,6,lose,win,2,min_max,max_score,0.018053531646728516,0.0
