player_1_score,player_2_score,player_1_moves,player_2_moves,total_moves,n_start_marbles,n_cups,player_1_result,player_2_result,first_move,player_one_strategy,player_two_strategy,game_run_time,depth
26,22,59,59,118,4,6,win,lose,2,min_max,max_score,0.009019136428833008,0.0
22,26,49,49,98,4,6,lose,win,1,min_max,max_score,0.010403633117675781,0.0
16,32,27,73,100,4,6,lose,win,2,min_max,max_score,0.016423463821411133,0.0
15,33,42,69,111,4,6,lose,win,2,min_max,max_score,0.01978898048400879,0.0
25,23,57,42,99,4,6,win,lose,5,min_max,max_score,0.007309913635253906,0.0
17,31,40,61,101,4,6,lose,win,5,min_max,max_score,0.00995945930480957,0.0
11,37,24,58,82,4,6,lose,win,3,min_max,max_score,0.0609745979309082,0.0
19,29,41,52,93,4,6,lose,win,2,min_max,max_score,0.012542724609375,0.0
13,35,31,57,88,4,6,lose,win,4,min_max,max_score,0.07852458953857422,0.0
11,37,22,64,86,4,6,lose,win,5,min_max,max_score,0.018106698989868164,0.0
15,33,31,68,99,4,6,lose,win,4,min_max,max_score,0.07961606979370117,0.0
16,32,37,57,94,4,6,lose,win,4,min_max,max_score,0.0798192024230957,0.0
14,34,36,75,111,4,6,lose,win,3,min_max,max_score,0.04613971710205078,0.0
21,27,55,48,103,4,6,lose,win,1,min_max,max_score,0.011089563369750977,0.0
17,31,31,69,100,4,6,lose,win,2,min_max,max_score,0.01629805564880371,0.0
13,35,25,65,90,4,6,lose,win,3,min_max,max_score,0.032027482986450195,0.0
23,25,48,61,109,4,6,lose,win,5,min_max,max_score,0.01191258430480957,0.0
16,32,34,64,98,4,6,lose,win,2,min_max,max_score,0.021638870239257812,0.0
22,26,53,59,112,4,6,lose,win,6,min_max,max_score,0.005293369293212891,0.0
18,30,37,56,93,4,6,lose,win,6,min_max,max_score,0.03707480430603027,0.0
23,25,54,53,107,4,6,lose,win,2,min_max,max_score,0.007927179336547852,0.0
13,35,32,78,110,4,6,lose,win,2,min_max,max_score,0.016463756561279297,0.0
12,36,30,65,95,4,6,lose,win,3,min_max,max_score,0.012532234191894531,0.0
20,28,31,58,89,4,6,lose,win,6,min_max,max_score,0.0063838958740234375,0.0
13,35,29,76,105,4,6,lose,win,4,min_max,max_score,0.08259463310241699,0.0
16,32,33,71,104,4,6,lose,win,6,min_max,max_score,0.024203777313232422,0.0
18,30,39,67,106,4,6,lose,win,6,min_max,max_score,0.021938562393188477,0.0
12,36,34,71,105,4,6,lose,win,1,min_max,max_score,0.040606021881103516,0.0
18,30,41,57,98,4,6,lose,win,5,min_max,max_score,0.008065223693847656,0.0
19,29,40,54,94,4,6,lose,win,5,min_max,max_score,0.021658897399902344,0.0
14,34,41,67,108,4,6,lose,win,1,min_max,max_score,0.0744776725769043,0.0
14,34,47,66,113,4,6,lose,win,1,min_max,max_score,0.0425260066986084,0.0
24,24,61,42,103,4,6,draw,draw,5,min_max,max_score,0.010963678359985352,0.0
13,35,26,63,89,4,6,lose,win,5,min_max,max_score,0.01845407485961914,0.0
18,30,49,64,113,4,6,lose,win,5,min_max,max_score,0.009289264678955078,0.0
11,37,23,67,90,4,6,lose,win,3,min_max,max_score,0.017919301986694336,0.0
17,31,33,65,98,4,6,lose,win,6,min_max,max_score,0.008359670639038086,0.0
17,31,46,59,105,4,6,lose,win,6,min_max,max_score,0.0428009033203125,0.0
19,29,47,48,95,4,6,lose,win,2,min_max,max_score,0.011232137680053711,0.0
11,37,33,73,106,4,6,lose,win,4,min_max,max_score,0.07925701141357422,0.0
13,35,35,71,106,4,6,lose,win,4,min_max,max_score,0.07922029495239258,0.0
18,30,45,64,109,4,6,lose,win,6,min_max,max_score,0.01827073097229004,0.0
22,26,56,57,113,4,6,lose,win,1,min_max,max_score,0.006103038787841797,0.0
16,32,42,71,113,4,6,lose,win,4,min_max,max_score,0.07867145538330078,0.0
16,32,44,69,113,4,6,lose,win,3,min_max,max_score,0.017966270446777344,0.0
14,34,36,68,104,4,6,lose,win,1,min_max,max_score,0.07992959022521973,0.0
14,34,34,88,122,4,6,lose,win,3,min_max,max_score,0.006826162338256836,0.0
20,28,55,62,117,4,6,lose,win,5,min_max,max_score,0.009699821472167969,0.0
18,30,46,69,115,4,6,lose,win,1,min_max,max_score,0.010458707809448242,0.0
14,34,35,77,112,4,6,lose,win,4,min_max,max_score,0.07982707023620605,0.0
