player_1_score,player_2_score,player_1_moves,player_2_moves,total_moves,n_start_marbles,n_cups,player_1_result,player_2_result,first_move,player_one_strategy,player_two_strategy,game_run_time,depth
26,22,59,59,118,4,6,win,lose,2,min_max,max_score,0.008979320526123047,0.0
22,26,49,49,98,4,6,lose,win,1,min_max,max_score,0.010297775268554688,0.0
16,32,27,73,100,4,6,lose,win,2,min_max,max_score,0.016211986541748047,0.0
15,33,42,69,111,4,6,lose,win,2,min_max,max_score,0.01947188377380371,0.0
25,23,57,42,99,4,6,win,lose,5,min_max,max_score,0.0070552825927734375,0.0
17,31,40,61,101,4,6,lose,win,5,min_max,max_score,0.009476661682128906,0.0
11,37,24,58,82,4,6,lose,win,3,min_max,max_score,0.05307912826538086,0.0
19,29,41,52,93,4,6,lose,win,2,min_max,max_score,0.010626792907714844,0.0
13,35,31,57,88,4,6,lose,win,4,min_max,max_score,0.06615209579467773,0.0
11,37,22,64,86,4,6,lose,win,5,min_max,max_score,0.01524972915649414,0.0
15,33,31,68,99,4,6,lose,win,4,min_max,max_score,0.06739449501037598,0.0
16,32,37,57,94,4,6,lose,win,4,min_max,max_score,0.06732630729675293,0.0
14,34,36,75,111,4,6,lose,win,3,min_max,max_score,0.03894925117492676,0.0
21,27,55,48,103,4,6,lose,win,1,min_max,max_score,0.009354829788208008,0.0
17,31,31,69,100,4,6,lose,win,2,min_max,max_score,0.013848066329956055,0.0
13,35,25,65,90,4,6,lose,win,3,min_max,max_score,0.02707958221435547,0.0
23,25,48,61,109,4,6,lose,win,5,min_max,max_score,0.010292768478393555,0.0
16,32,34,64,98,4,6,lose,win,2,min_max,max_score,0.018692493438720703,0.0
22,26,53,59,112,4,6,lose,win,6,min_max,max_score,0.004581928253173828,0.0
18,30,37,56,93,4,6,lose,win,6,min_max,max_score,0.03206610679626465,0.0
23,25,54,53,107,4,6,lose,win,2,min_max,max_score,0.006841182708740234,0.0
13,35,32,78,110,4,6,lose,win,2,min_max,max_score,0.014186620712280273,0.0
12,36,30,65,95,4,6,lose,win,3,min_max,max_score,0.010786294937133789,0.0
20,28,31,58,89,4,6,lose,win,6,min_max,max_score,0.0055081844329833984,0.0
13,35,29,76,105,4,6,lose,win,4,min_max,max_score,0.07130980491638184,0.0
16,32,33,71,104,4,6,lose,win,6,min_max,max_score,0.020867347717285156,0.0
18,30,39,67,106,4,6,lose,win,6,min_max,max_score,0.018926143646240234,0.0
12,36,34,71,105,4,6,lose,win,1,min_max,max_score,0.03512239456176758,0.0
18,30,41,57,98,4,6,lose,win,5,min_max,max_score,0.006960391998291016,0.0
19,29,40,54,94,4,6,lose,win,5,min_max,max_score,0.018729209899902344,0.0
14,34,41,67,108,4,6,lose,win,1,min_max,max_score,0.06354784965515137,0.0
14,34,47,66,113,4,6,lose,win,1,min_max,max_score,0.03670549392700195,0.0
24,24,61,42,103,4,6,draw,draw,5,min_max,max_score,0.009448528289794922,0.0
13,35,26,63,89,4,6,lose,win,5,min_max,max_score,0.015821456909179688,0.0
18,30,49,64,113,4,6,lose,win,5,min_max,max_score,0.008005619049072266,0.0
11,37,23,67,90,4,6,lose,win,3,min_max,max_score,0.016359806060791016,0.0
17,31,33,65,98,4,6,lose,win,6,min_max,max_score,0.008014440536499023,0.0
17,31,46,59,105,4,6,lose,win,6,min_max,max_score,0.04126143455505371,0.0
19,29,47,48,95,4,6,lose,win,2,min_max,max_score,0.010816335678100586,0.0
11,37,33,73,106,4,6,lose,win,4,min_max,max_score,0.07028651237487793,0.0
13,35,35,71,106,4,6,lose,win,4,min_max,max_score,0.07100343704223633,0.0
18,30,45,64,109,4,6,lose,win,6,min_max,max_score,0.016159772872924805,0.0
22,26,56,57,113,4,6,lose,win,1,min_max,max_score,0.005419015884399414,0.0
16,32,42,71,113,4,6,lose,win,4,min_max,max_score,0.06995916366577148,0.0
16,32,44,69,113,4,6,lose,win,3,min_max,max_score,0.015915393829345703,0.0
14,34,36,68,104,4,6,lose,win,1,min_max,max_score,0.07009482383728027,0.0
14,34,34,88,122,4,6,lose,win,3,min_max,max_score,0.006053447723388672,0.0
20,28,55,62,117,4,6,lose,win,5,min_max,max_score,0.008446455001831055,0.0
18,30,46,69,115,4,6,lose,win,1,min_max,max_score,0.009131908416748047,0.0
14,34,35,77,112,4,6,lose,win,4,min_max,max_score,0.07005119323730469,0.0
25,23,50,53,103,4,6,win,lose,2,min_max,max_score,0.0059278011322021484,0.0
12,36,26,76,102,4,6,lose,win,3,min_max,max_score,0.029520750045776367,0.0
14,34,34,66,100,4,6,lose,win,5,min_max,max_score,0.015848159790039062,0.0
18,30,46,68,114,4,6,lose,win,2,min_max,max_score,0.0062885284423828125,0.0
21,27,48,61,109,4,6,lose,win,1,min_max,max_score,0.007962226867675781,0.0
23,25,52,49,101,4,6,lose,win,5,min_max,max_score,0.0074710845947265625,0.0
18,30,42,73,115,4,6,lose,win,1,min_max,max_score,0.009899377822875977,0.0
13,35,21,72,93,4,6,lose,win,5,min_max,max_score,0.09586834907531738,0.0
17,31,50,71,121,4,6,lose,win,2,min_max,max_score,0.008101224899291992,0.0
13,35,21,69,90,4,6,lose,win,3,min_max,max_score,0.028072834014892578,0.0
15,33,34,66,100,4,6,lose,win,4,min_max,max_score,0.06923222541809082,0.0
19,29,43,59,102,4,6,lose,win,5,min_max,max_score,0.018770933151245117,0.0
16,32,39,61,100,4,6,lose,win,4,min_max,max_score,0.0703897476196289,0.0
15,33,24,59,83,4,6,lose,win,4,min_max,max_score,0.06899714469909668,0.0
14,34,35,64,99,4,6,lose,win,4,min_max,max_score,0.0689842700958252,0.0
14,34,37,67,104,4,6,lose,win,1,min_max,max_score,0.06837177276611328,0.0
18,30,45,68,113,4,6,lose,win,1,min_max,max_score,0.01231241226196289,0.0
16,32,36,62,98,4,6,lose,win,6,min_max,max_score,0.03173255920410156,0.0
12,36,27,80,107,4,6,lose,win,6,min_max,max_score,0.01732468605041504,0.0
13,35,35,66,101,4,6,lose,win,1,min_max,max_score,0.011250495910644531,0.0
14,34,26,67,93,4,6,lose,win,3,min_max,max_score,0.0530092716217041,0.0
17,31,34,66,100,4,6,lose,win,1,min_max,max_score,0.06310200691223145,0.0
16,32,39,70,109,4,6,lose,win,3,min_max,max_score,0.014455795288085938,0.0
15,33,45,67,112,4,6,lose,win,5,min_max,max_score,0.023728609085083008,0.0
14,34,27,72,99,4,6,lose,win,4,min_max,max_score,0.06848001480102539,0.0
14,34,29,72,101,4,6,lose,win,3,min_max,max_score,0.013642549514770508,0.0
15,33,29,62,91,4,6,lose,win,3,min_max,max_score,0.013835430145263672,0.0
20,28,30,58,88,4,6,lose,win,2,min_max,max_score,0.008888483047485352,0.0
23,25,64,66,130,4,6,lose,win,2,min_max,max_score,0.0063970088958740234,0.0
26,22,28,43,71,4,6,win,lose,3,min_max,max_score,0.007366180419921875,0.0
16,32,32,72,104,4,6,lose,win,5,min_max,max_score,0.009839773178100586,0.0
17,31,33,61,94,4,6,lose,win,2,min_max,max_score,0.01404428482055664,0.0
12,36,36,66,102,4,6,lose,win,4,min_max,max_score,0.06965422630310059,0.0
18,30,38,61,99,4,6,lose,win,6,min_max,max_score,0.01175546646118164,0.0
17,31,34,73,107,4,6,lose,win,2,min_max,max_score,0.009890556335449219,0.0
14,34,37,59,96,4,6,lose,win,1,min_max,max_score,0.06827068328857422,0.0
22,26,48,56,104,4,6,lose,win,2,min_max,max_score,0.0052089691162109375,0.0
14,34,32,57,89,4,6,lose,win,4,min_max,max_score,0.07020783424377441,0.0
32,16,45,23,68,4,6,win,lose,1,min_max,max_score,0.004333019256591797,0.0
17,31,39,56,95,4,6,lose,win,2,min_max,max_score,0.010019302368164062,0.0
21,27,59,54,113,4,6,lose,win,1,min_max,max_score,0.008355140686035156,0.0
14,34,33,77,110,4,6,lose,win,4,min_max,max_score,0.07226824760437012,0.0
17,31,30,57,87,4,6,lose,win,4,min_max,max_score,0.0701446533203125,0.0
24,24,48,54,102,4,6,draw,draw,5,min_max,max_score,0.007269859313964844,0.0
15,33,30,63,93,4,6,lose,win,5,min_max,max_score,0.06199932098388672,0.0
23,25,49,54,103,4,6,lose,win,3,min_max,max_score,0.007904529571533203,0.0
14,34,40,55,95,4,6,lose,win,2,min_max,max_score,0.013346433639526367,0.0
16,32,43,57,100,4,6,lose,win,3,min_max,max_score,0.009142160415649414,0.0
17,31,21,60,81,4,6,lose,win,4,min_max,max_score,0.06930160522460938,0.0
19,29,58,69,127,4,6,lose,win,2,min_max,max_score,0.008351564407348633,0.0
19,29,39,72,111,4,6,lose,win,5,min_max,max_score,0.004753828048706055,0.0
15,33,43,53,96,4,6,lose,win,2,min_max,max_score,0.010380268096923828,0.0
12,36,29,83,112,4,6,lose,win,6,min_max,max_score,0.023195981979370117,0.0
20,28,50,59,109,4,6,lose,win,1,min_max,max_score,0.010510444641113281,0.0
18,30,44,54,98,4,6,lose,win,5,min_max,max_score,0.0214083194732666,0.0
15,33,46,80,126,4,6,lose,win,6,min_max,max_score,0.0069580078125,0.0
23,25,67,59,126,4,6,lose,win,2,min_max,max_score,0.00753474235534668,0.0
17,31,41,77,118,4,6,lose,win,2,min_max,max_score,0.008995532989501953,0.0
16,32,36,70,106,4,6,lose,win,3,min_max,max_score,0.008322000503540039,0.0
12,36,25,77,102,4,6,lose,win,4,min_max,max_score,0.07221484184265137,0.0
23,25,54,52,106,4,6,lose,win,2,min_max,max_score,0.011018753051757812,0.0
14,34,35,72,107,4,6,lose,win,4,min_max,max_score,0.0724339485168457,0.0
21,27,59,55,114,4,6,lose,win,1,min_max,max_score,0.010178804397583008,0.0
24,24,58,39,97,4,6,draw,draw,2,min_max,max_score,0.004488468170166016,0.0
19,29,41,60,101,4,6,lose,win,3,min_max,max_score,0.007229328155517578,0.0
16,32,26,71,97,4,6,lose,win,6,min_max,max_score,0.02173161506652832,0.0
16,32,37,74,111,4,6,lose,win,2,min_max,max_score,0.006456613540649414,0.0
24,24,27,42,69,4,6,draw,draw,6,min_max,max_score,0.007880687713623047,0.0
19,29,52,64,116,4,6,lose,win,3,min_max,max_score,0.005664825439453125,0.0
21,27,56,52,108,4,6,lose,win,5,min_max,max_score,0.006677865982055664,0.0
18,30,44,68,112,4,6,lose,win,1,min_max,max_score,0.012846708297729492,0.0
12,36,30,75,105,4,6,lose,win,5,min_max,max_score,0.10340023040771484,0.0
19,29,42,48,90,4,6,lose,win,1,min_max,max_score,0.009086370468139648,0.0
20,28,45,50,95,4,6,lose,win,3,min_max,max_score,0.015961885452270508,0.0
19,29,35,54,89,4,6,lose,win,2,min_max,max_score,0.04400014877319336,0.0
13,35,31,72,103,4,6,lose,win,5,min_max,max_score,0.018038511276245117,0.0
21,27,51,52,103,4,6,lose,win,1,min_max,max_score,0.009304046630859375,0.0
25,23,51,58,109,4,6,win,lose,2,min_max,max_score,0.006110668182373047,0.0
